date,ticker,text,sentiment_score,sentiment_type
2020-01-01,AAPL,AAPL CEO steps down amid controversy,-0.7887217025004335,negative
2020-01-01,MSFT,MSFT reports disappointing quarterly results,-0.39811580336791125,negative
2020-01-01,MSFT,MSFT reports disappointing quarterly results,-0.33794822094419513,negative
2020-01-02,AAPL,AAPL faces regulatory scrutiny over data privacy,-0.8692049918546698,negative
2020-01-02,GOOGL,GOOGL receives regulatory approval for new product launch,0.35080235863129755,positive
2020-01-02,GOOGL,GOOGL provides business update to investors,0.01715125294432207,neutral
2020-01-02,GOOGL,GOOGL CEO optimistic about future growth prospects,0.6897728521948152,positive
2020-01-03,AAPL,AAPL receives regulatory approval for new product launch,0.31579800824166393,positive
2020-01-03,AAPL,AAPL participates in industry conference,0.019707397339377042,neutral
2020-01-03,MSFT,MSFT reports disappointing quarterly results,-0.5483920064014607,negative
2020-01-04,GOOGL,GOOGL receives regulatory approval for new product launch,0.3834901704278204,positive
2020-01-04,MSFT,MSFT announces breakthrough innovation in technology,0.8815371720163323,positive
2020-01-05,GOOGL,GOOGL expands operations with new strategic partnership,0.46689902526743854,positive
2020-01-05,GOOGL,GOOGL files standard regulatory documents,0.02907312634267578,neutral
2020-01-05,MSFT,MSFT stock falls on analyst downgrade,-0.6555281912023666,negative
2020-01-06,GOOGL,GOOGL receives regulatory approval for new product launch,0.9258696752743114,positive
2020-01-07,GOOGL,GOOGL announces minor organizational changes,-0.11048864549160951,neutral
2020-01-07,MSFT,"MSFT reports strong quarterly earnings, beating analyst expectations",0.7939615337117625,positive
2020-01-07,MSFT,MSFT reports disappointing quarterly results,-0.8772384469606249,negative
2020-01-07,MSFT,MSFT announces increased dividend and share buyback program,0.3334871687549271,positive
2020-01-08,AAPL,AAPL announces breakthrough innovation in finance,0.4967517198115792,positive
2020-01-08,AAPL,AAPL faces regulatory scrutiny over data privacy,-0.9401092106411368,negative
2020-01-08,MSFT,MSFT stock surges on positive analyst upgrade,0.5070759030073042,positive
2020-01-09,AAPL,AAPL announces layoffs amid restructuring efforts,-0.8210934776693282,negative
2020-01-09,GOOGL,GOOGL faces regulatory scrutiny over data privacy,-0.7767350782113116,negative
2020-01-09,GOOGL,GOOGL faces supply chain disruptions,-0.8254683099971585,negative
2020-01-09,MSFT,MSFT announces routine board meeting,0.049325773503622994,neutral
2020-01-09,MSFT,MSFT faces regulatory scrutiny over data privacy,-0.6068090256232161,negative
2020-01-09,MSFT,MSFT loses major client contract,-0.3839216220386918,negative
2020-01-10,AAPL,AAPL CEO optimistic about future growth prospects,0.6984969680653671,positive
2020-01-11,AAPL,AAPL provides business update to investors,0.048585769062713835,neutral
2020-01-11,MSFT,MSFT announces routine board meeting,0.14838703994501706,neutral
2020-01-12,AAPL,AAPL reports disappointing quarterly results,-0.9539888540247137,negative
